Order Date,Order ID,Ship Mode,Customer ID,Segment,City,State,Region,Product ID,Category,Sub-Category,Sales,Quantity,Discount,Profit,ProfitorLoss,Prof Percentage,IsDiscounted
01-01-2020,CA-2017-107503,Standard Class,GA-14725,Consumer,Lorain,Ohio,East,FUR-FU-10003878,Furniture,Furnishings,48.896,4,0.2,8.5568,Profit,17.5,TRUE
01-01-2020,CA-2017-144463,Standard Class,SC-20725,Consumer,Los Angeles,California,West,FUR-FU-10001215,Furniture,Furnishings,474.43,11,0,199.2606,Profit,42,FALSE
01-01-2020,CA-2017-154466,First Class,DP-13390,Home Office,Franklin,Wisconsin,Central,OFF-BI-10002012,Office Supplies,Binders,3.6,2,0,1.728,Profit,48,FALSE
01-01-2020,CA-2017-151750,Standard Class,JM-15250,Consumer,Huntsville,Texas,Central,OFF-ST-10002743,Office Supplies,Storage,454.56,5,0.2,-107.958,Loss,-23.75,TRUE
01-01-2020,CA-2017-151750,Standard Class,JM-15250,Consumer,Huntsville,Texas,Central,FUR-CH-10003199,Furniture,Chairs,310.744,4,0.3,-26.6352,Loss,-8.571428571,TRUE
01-01-2020,CA-2017-151750,Standard Class,JM-15250,Consumer,Huntsville,Texas,Central,OFF-AR-10003158,Office Supplies,Art,12.736,4,0.2,2.2288,Profit,17.5,TRUE
02-01-2020,CA-2017-113481,First Class,AS-10045,Corporate,Jacksonville,North Carolina,South,TEC-MA-10002178,Technology,Machines,695.7,2,0.5,-27.828,Loss,-4,TRUE
02-01-2020,CA-2017-113481,First Class,AS-10045,Corporate,Jacksonville,North Carolina,South,OFF-BI-10003694,Office Supplies,Binders,15.66,5,0.7,-12.528,Loss,-80,TRUE
02-01-2020,CA-2017-113481,First Class,AS-10045,Corporate,Jacksonville,North Carolina,South,OFF-BI-10000474,Office Supplies,Binders,28.854,6,0.7,-21.1596,Loss,-73.33333333,TRUE
02-01-2020,CA-2017-147207,Second Class,TS-21655,Consumer,El Paso,Texas,Central,OFF-AR-10001955,Office Supplies,Art,31.744,2,0.2,3.968,Profit,12.5,TRUE
02-01-2020,CA-2017-147207,Second Class,TS-21655,Consumer,El Paso,Texas,Central,FUR-TA-10002958,Furniture,Tables,913.43,5,0.3,-169.637,Loss,-18.57142857,TRUE
02-01-2020,CA-2017-147207,Second Class,TS-21655,Consumer,El Paso,Texas,Central,OFF-ST-10002615,Office Supplies,Storage,372.144,3,0.2,27.9108,Profit,7.5,TRUE
02-01-2020,CA-2017-118668,Second Class,FW-14395,Corporate,Los Angeles,California,West,TEC-AC-10000682,Technology,Accessories,16.59,1,0,5.8065,Profit,35,FALSE
03-01-2020,US-2017-114034,Standard Class,DL-13315,Consumer,Rancho Cucamonga,California,West,OFF-PA-10004735,Office Supplies,Paper,38.88,6,0,18.6624,Profit,48,FALSE
03-01-2020,CA-2017-111738,Standard Class,CM-12385,Consumer,San Francisco,California,West,OFF-BI-10004584,Office Supplies,Binders,2022.272,8,0.2,682.5168,Profit,33.75,TRUE
03-01-2020,CA-2017-111738,Standard Class,CM-12385,Consumer,San Francisco,California,West,OFF-AR-10000817,Office Supplies,Art,9.12,3,0,3.1008,Profit,34,FALSE
06-01-2020,CA-2017-150931,Standard Class,DP-13390,Home Office,Tuscaloosa,Alabama,South,OFF-BI-10004728,Office Supplies,Binders,33.74,7,0,15.5204,Profit,46,FALSE
07-01-2020,CA-2017-159366,First Class,BW-11110,Corporate,Detroit,Michigan,Central,TEC-MA-10000822,Technology,Machines,3059.982,2,0.1,679.996,Profit,22.22222222,TRUE
07-01-2020,US-2017-168690,Standard Class,TS-21085,Consumer,Ormond Beach,Florida,South,OFF-BI-10000145,Office Supplies,Binders,2.808,3,0.7,-1.9656,Loss,-70,TRUE
07-01-2020,US-2017-123862,Second Class,JF-15190,Consumer,Long Beach,California,West,OFF-ST-10000760,Office Supplies,Storage,153.78,11,0,44.5962,Profit,29,FALSE
07-01-2020,US-2017-123862,Second Class,JF-15190,Consumer,Long Beach,California,West,OFF-ST-10002301,Office Supplies,Storage,61.02,3,0,0.6102,Profit,1,FALSE
07-01-2020,US-2017-123862,Second Class,JF-15190,Consumer,Long Beach,California,West,OFF-SU-10004884,Office Supplies,Supplies,110.11,7,0,31.9319,Profit,29,FALSE
07-01-2020,US-2017-123862,Second Class,JF-15190,Consumer,Long Beach,California,West,OFF-FA-10003112,Office Supplies,Fasteners,7.89,1,0,3.5505,Profit,45,FALSE
08-01-2020,CA-2017-115154,First Class,RS-19420,Corporate,Seattle,Washington,West,FUR-TA-10001950,Furniture,Tables,892.98,2,0,80.3682,Profit,9,FALSE
09-01-2020,CA-2017-154760,Standard Class,BP-11290,Consumer,Philadelphia,Pennsylvania,East,OFF-BI-10004632,Office Supplies,Binders,274.491,3,0.7,-228.7425,Loss,-83.33333333,TRUE
12-01-2020,US-2017-158512,Second Class,DA-13450,Home Office,Washington,District of Columbia,East,OFF-PA-10001804,Office Supplies,Paper,40.08,6,0,19.2384,Profit,48,FALSE
12-01-2020,US-2017-158512,Second Class,DA-13450,Home Office,Washington,District of Columbia,East,FUR-FU-10004973,Furniture,Furnishings,37.68,2,0,15.8256,Profit,42,FALSE
12-01-2020,CA-2017-108000,Standard Class,LS-16945,Corporate,San Francisco,California,West,OFF-EN-10002621,Office Supplies,Envelopes,9.78,1,0,4.89,Profit,50,FALSE
13-01-2020,US-2017-167402,Second Class,CP-12085,Corporate,Springfield,Missouri,Central,OFF-PA-10004983,Office Supplies,Paper,32.4,5,0,15.552,Profit,48,FALSE
13-01-2020,US-2017-167402,Second Class,CP-12085,Corporate,Springfield,Missouri,Central,OFF-AR-10004010,Office Supplies,Art,209.94,6,0,54.5844,Profit,26,FALSE
13-01-2020,US-2017-167402,Second Class,CP-12085,Corporate,Springfield,Missouri,Central,FUR-BO-10001608,Furniture,Bookcases,212.94,3,0,53.235,Profit,25,FALSE
14-01-2020,CA-2017-138779,First Class,RB-19570,Consumer,Jacksonville,North Carolina,South,OFF-EN-10002504,Office Supplies,Envelopes,21.744,1,0.2,7.3386,Profit,33.75,TRUE
14-01-2020,CA-2017-138779,First Class,RB-19570,Consumer,Jacksonville,North Carolina,South,TEC-PH-10003655,Technology,Phones,7.92,5,0.2,0.693,Profit,8.75,TRUE
14-01-2020,US-2017-106131,First Class,TP-21565,Corporate,Aurora,Colorado,West,TEC-AC-10003027,Technology,Accessories,169.064,7,0.2,-14.7931,Loss,-8.75,TRUE
14-01-2020,US-2017-106131,First Class,TP-21565,Corporate,Aurora,Colorado,West,OFF-ST-10003638,Office Supplies,Storage,168.624,9,0.2,14.7546,Profit,8.75,TRUE
